Ligand,Binding Energy (kcal/mol)
EGCG,-11.964
Donepezil,-11.772
Demethoxycurcumin,-10.975
Curcumin,-10.866
Bisdemethoxycurcumin,-10.803
Hesperidin,-10.74
Rosmarinic acid,-10.686
Baicalein,-10.556
Ellagic acid,-10.451
Chrysin,-10.427
Withanolide A,-10.365
Luteolin,-10.342
Piperine,-10.326
Berberine,-10.314
Apigenin,-10.279
Naringenin,-10.277
Quercetin,-10.196
Withaferin A,-10.155
Fisetin,-10.082
Myricetin,-10.023
Epicatechin,-9.987
Chlorogenic acid,-9.894
Catechin,-9.861
Huperzine A,-9.82
Rutin,-9.769
Genistein,-9.645
Ursolic acid,-9.599
Pterostilbene,-9.308
Kaempferol,-9.293
Bilobalide,-9.27
Resveratrol,-9.237
Ginkgolide B,-8.958
Harmine,-8.814
Oleanolic acid,-8.287
Asiatic acid,-7.948
Umbelliferone,-7.715
Scopoletin,-7.657
Ferulic acid,-7.627
Caffeic acid,-7.526
Thymoquinone,-7.328
Gallic acid,-6.567
